Site,Year,Peak biomass (mg),Peak date (julian),Seasonal biomass (mg),Cumulative thawing degree days,Cumulative daily precipitation,Snowmelt day,Average surface solar radiation
Southampton,2011,"97,5095424637417",192,"536,877751240028","171,941345065832","38,4834210649133",169,"247,618589819931"
Southampton,2012,"18,6459700007833",204,,"176,475402027369","99,8617091849446",177,"196,766887385671"
Medusa,1996,"98,9526760365301",191,"981,502944665151","71,5264355204999","46,9470614045858",,"257,449331888338"
Medusa,2000,"65,0541747308295",212,,"54,1927248202264","67,4652110636234",173,"214,41215998952"
Medusa,2001,"27,4677805448343",193,"281,973035989822","147,022940814495","35,3045504838228",185,"256,413988066883"
Medusa,2002,"32,7508090920626",199,"188,959421240237","57,2925485670566","66,7297278344632",185,"216,651873332698"
Zackenberg,1998,"6,65073059456923",228,"126,33310287391","42,915644466877","20,2496819645166",,"314,624333079268"
Zackenberg,1999,"27,6398970493374",179,"224,097882101273","43,3092088401317","22,7118446677923",,"313,864903891959"
Zackenberg,2000,"50,9304831612404",173,"413,681408901025","51,1656636856496","3,85916194319725",,"341,356397675305"
Zackenberg,2001,"5,38140740281971",193,"72,2883768867147","59,6948574781418","37,9235029220581",177,"326,076359446456"
Zackenberg,2002,"6,0539716425551",186,"81,3008011439921","104,882593393326","4,22040049731732",173,"341,780859970465"
Zackenberg,2003,"11,6577715626833",200,"184,005106125519","87,8958833739161","16,0034739524126",169,"316,048348775724"
Zackenberg,2004,"5,57400261811641",187,"84,7813564119956","64,7763471603393","3,19302403926849",169,"341,93145007622"
Zackenberg,2005,"7,85515463107686",193,"100,780689287612","74,8371333405375","26,4144495427608",157,"315,05810546875"
Zackenberg,2006,"6,38996890663255",172,"75,1123201455937","15,0929005108774","16,7048758938909",177,"323,548729873285"
Zackenberg,2007,"4,00222797668859",222,"60,3179052103051","67,5437103770673","17,4388215988875",161,"335,986521651105"
Zackenberg,2008,"5,74430554401738",166,"68,9190741118151","82,421918362379","5,50014726817608",181,"323,017539419779"
Zackenberg,2009,"18,7007794936362",142,,"53,0581589899957","13,3379264622927",145,"312,309564357851"
Zackenberg,2010,"2,41531591551448",242,,"51,8606935441494","6,29902797937393",169,"329,366026343369"
Zackenberg,2011,"27,8033301965963",221,"240,076685300061","52,77897843346","3,77825267612934",161,"341,304401676829"
Zackenberg,2012,"29,7775399546887",229,"357,041205339485","77,1126517951488","8,51370500028134",185,"319,931027296113"
Zackenberg,2013,"25,9945902784399",221,"244,392974225331","59,3271575272083","39,2276621311903",153,"308,864755025724"
Zackenberg,2014,"5,35795750883512",243,"56,5656083259321","64,3494472466409","30,0696866735816",173,"305,526929901867"
Zackenberg,2015,"10,9857155983042",229,"104,882933943947","84,5576663874089","5,04868021607399",181,"343,146591558689"
Zackenberg,2016,"3,33292781616431",227,"48,2030095511273","102,3671425879","8,51263773441315",165,"338,552913014482"
